ADD ITEM BAG NEW Nhị vĩ, SL: 1 lý do: Lệnh chat ADMIN, TIME: 18/03/2024 09:54 SA
ADD ITEM BAG NEW Thú cưỡi tuần lộc, SL: 1 lý do: Nhận từ thư: Mã quà tặng: xz, TIME: 19/03/2024 21:00 CH

ADD ITEM BAG NEW Kiếm gỗ, SL: 1 lý do: New game, TIME: 02/04/2024 19:37 CH

ADD BẠC KHÓA +100000000, tổng: 100000000 lý do: New game, TIME: 02/04/2024 19:37 CH

ADD VÀNG KHÓA +10000, tổng: 10000 lý do: New game, TIME: 02/04/2024 19:37 CH

ADD ITEM BAG NEW Rương cải trang, SL: 100 lý do: New game, TIME: 02/04/2024 19:37 CH

ADD ITEM BAG XẾP CHỒNG NEW Hỗ phách, SL: 9999 lý do: Lệnh chat ADMIN, TIME: 25/04/2024 08:46 SA

ADD ITEM BAG NEW Cải trang Danzo, SL: 1 lý do: Tháo từ BODY, TIME: 25/04/2024 08:47 SA

ADD ITEM BAG NEW Kiếm gỗ, SL: 1 lý do: New game, TIME: 13/08/2025 21:05 PM

ADD BẠC KHÓA +100000000, tổng: 100000000 lý do: New game, TIME: 13/08/2025 21:05 PM

ADD VÀNG KHÓA +10000, tổng: 10000 lý do: New game, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Rương cải trang, SL: 100 lý do: New game, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Asuma, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Zabuza, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Kabuto, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Tử Môn Gai, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Shisui, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Gai, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Tsunade, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Sasori, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Konan, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Anbu Cội Rễ, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Hanzo, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Jiraiya, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Sơn Tinh, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Mỵ Nương, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:05 PM

ADD ITEM BAG NEW Cải trang Konan, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Tết, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Shino, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Tobirama, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Anbu, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Hashirama, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Noel, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Gaara, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Obito Lục Đạo, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG NEW Cải trang Akimichi Choji, SL: 1 lý do: Mở từ rương cải trang, TIME: 13/08/2025 21:06 PM

ADD ITEM BAG XẾP CHỒNG NEW Bình HP cấp 1, SL: 50 lý do: Nhiệm vụ, TIME: 13/08/2025 21:10 PM

ADD BẠC KHÓA +200, tổng: 100000200 lý do: Nhiệm vụ, TIME: 13/08/2025 21:10 PM

ADD BẠC KHÓA +9, tổng: 100000209 lý do: Nhặt từ Map, TIME: 13/08/2025 21:10 PM

ADD BẠC KHÓA +10, tổng: 100000219 lý do: Nhặt từ Map, TIME: 13/08/2025 21:10 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 75, TIME: 13/08/2025 21:10 PM

ADD VÀNG +1176470, tổng: 1176470 lý do: Quy đổi từ VND, TIME: 13/08/2025 21:12 PM

ADD ITEM BAG NEW Danh hiệu Nhẫn Giả, SL: 1 lý do: Nhận từ thư: Quà nạp lần đầu, TIME: 13/08/2025 21:13 PM

ADD ITEM BAG NEW Túi mở rộng cấp 3, SL: 1 lý do: Mua từ shop, TIME: 13/08/2025 21:14 PM

ADD BẠC KHÓA +7, tổng: 100000226 lý do: Nhặt từ Map, TIME: 13/08/2025 21:30 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 1, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:32 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 2, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:32 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 3, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:33 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 4, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:33 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 5, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:33 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 6, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:33 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 7, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:34 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 8, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:34 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 9, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:34 PM

ADD BẠC KHÓA +7, tổng: 100000233 lý do: Nhặt từ Map, TIME: 13/08/2025 21:35 PM

ADD BẠC KHÓA +10, tổng: 100000243 lý do: Nhặt từ Map, TIME: 13/08/2025 21:35 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:35 PM

ADD ITEM BAG NEW Lôi Thần Kiếm, SL: 1 lý do: Gia nhập học, TIME: 13/08/2025 21:36 PM

ADD ITEM BAG NEW Gói ưu đãi Rank 10, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:37 PM

ADD VÀNG KHÓA +3608, tổng: 13607 lý do: Vòng quay nạp, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +3608, tổng: 17215 lý do: Vòng quay nạp, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +3608, tổng: 20823 lý do: Vòng quay nạp, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +3608, tổng: 24431 lý do: Vòng quay nạp, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +3608, tổng: 28039 lý do: Vòng quay nạp, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +30, tổng: 28069 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +25, tổng: 28094 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +5, tổng: 28099 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +10, tổng: 28109 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +15, tổng: 28124 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:39 PM

ADD VÀNG KHÓA +20, tổng: 28144 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:39 PM

ADD ITEM BAG XẾP CHỒNG NEW Sách kỹ năng chiến đấu, SL: 2 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:39 PM

ADD ITEM BAG XẾP CHỒNG NEW Sách kỹ năng chiến đấu, SL: 2 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:40 PM

ADD ITEM BAG NEW Sách kỹ năng (Trung), SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:41 PM

ADD ITEM BAG NEW Sách kỹ năng (Trung), SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:41 PM

ADD ITEM BAG NEW Sách tiềm năng (Trung), SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG NEW Siêu bùa nổ, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG XẾP CHỒNG NEW Sách kỹ năng chiến đấu, SL: 10 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG XẾP CHỒNG NEW Lông vĩ thú, SL: 200 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG Xếp chồng Lông vĩ thú, SL: 400 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG Xếp chồng Lông vĩ thú, SL: 600 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG NEW Kỹ năng vĩ thú đặc biệt, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG NEW Nhẫn thuật sao chép cao cấp, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG Xếp chồng Lông vĩ thú, SL: 900 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG NEW Sách nhẫn thuật đặc biệt, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG NEW Sách kỹ năng (Sơ), SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:42 PM

ADD ITEM BAG NEW Sách tiềm năng (Trung), SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Đá cấp 12, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG XẾP CHỒNG NEW Chakra vĩ thú, SL: 888 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Lông vĩ thú, SL: 1100 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Cải trang Obito Lục Đạo, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG XẾP CHỒNG NEW Vỏ sò, SL: 5 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Túi mở rộng cấp 4, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Chakra vĩ thú, SL: 1888 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Lông vĩ thú, SL: 1400 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Lông vĩ thú, SL: 1700 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Lông vĩ thú, SL: 2200 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Chakra vĩ thú, SL: 2388 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Siêu bùa nổ, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Chakra vĩ thú, SL: 3276 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Đá cấp 12, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Vỏ sò, SL: 10 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Siêu bùa nổ, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG Xếp chồng Vỏ sò, SL: 15 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Kỹ năng vĩ thú đặc biệt, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG NEW Kỹ năng vĩ thú đặc biệt, SL: 1 lý do: Thử vận may, TIME: 13/08/2025 21:43 PM

ADD ITEM BAG XẾP CHỒNG NEW Bình hoạt lực, SL: 15 lý do: Nhận từ vòng quay, TIME: 13/08/2025 21:44 PM

ADD BẠC +7000000, tổng: 7000000 lý do: Đổi từ ngân khổ quan, TIME: 13/08/2025 21:45 PM

ADD ITEM BAG XẾP CHỒNG NEW Túi thực phẩm, SL: 1 lý do: Mua từ shop, TIME: 13/08/2025 21:45 PM

ADD ITEM BAG NEW Thú cưỡi phượng hoàng lửa, SL: 1 lý do: Nhận phúc lợi, TIME: 13/08/2025 21:46 PM

ADD BẠC KHÓA +11, tổng: 100000254 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +5, tổng: 100000259 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +2, tổng: 100000261 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +7, tổng: 100000268 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +8, tổng: 100000276 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +8, tổng: 100000284 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +10, tổng: 100000294 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +9, tổng: 100000303 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000309 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000315 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000321 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000327 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +2, tổng: 100000329 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000335 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +4, tổng: 100000339 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +10, tổng: 100000349 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000355 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000361 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +11, tổng: 100000372 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +1, tổng: 100000373 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +1, tổng: 100000374 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +7, tổng: 100000381 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000387 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +4, tổng: 100000391 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000397 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +11, tổng: 100000408 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 2, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 3, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +2, tổng: 100000302 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000308 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +4, tổng: 100000312 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +9, tổng: 100000321 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +11, tổng: 100000332 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +4, tổng: 100000336 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +8, tổng: 100000344 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +1, tổng: 100000345 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +10, tổng: 100000355 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +7, tổng: 100000362 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +3, tổng: 100000365 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +2, tổng: 100000367 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000373 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +9, tổng: 100000382 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +1, tổng: 100000383 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +4, tổng: 100000387 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +1, tổng: 100000388 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +9, tổng: 100000397 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +6, tổng: 100000403 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +1, tổng: 100000404 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +8, tổng: 100000412 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +10, tổng: 100000422 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +11, tổng: 100000433 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Nhặt từ Map: 83, TIME: 13/08/2025 21:49 PM

ADD ITEM BAG NEW Đá cấp 1, SL: 1 lý do: Ghép đá, TIME: 13/08/2025 21:49 PM

ADD BẠC KHÓA +4, tổng: 100000419 lý do: Nhặt từ Map, TIME: 13/08/2025 21:49 PM

